rodada_num,status,mandante,time,adversario,resultado,frequencia,modelo
12,Previsto,Não,Ceará,Fluminense,Derrota,,LogisticRegression_LOSO
12,Previsto,Não,Flamengo,Sport,Derrota,,LogisticRegression_LOSO
12,Previsto,Sim,Fluminense,Ceará,Vitória,,LogisticRegression_LOSO
12,Previsto,Não,Juventude,Palmeiras,Derrota,,LogisticRegression_LOSO
12,Previsto,Sim,Palmeiras,Juventude,Vitória,,LogisticRegression_LOSO
12,Previsto,Sim,Sport,Flamengo,Vitória,,LogisticRegression_LOSO
13,Previsto,Não,Fluminense,Mirassol,Derrota,,LogisticRegression_LOSO
13,Previsto,Sim,Mirassol,Fluminense,Vitória,,LogisticRegression_LOSO
13,Previsto,Não,Palmeiras,Santos,Derrota,,LogisticRegression_LOSO
13,Previsto,Sim,Santos,Palmeiras,Vitória,,LogisticRegression_LOSO
14,Previsto,Sim,Atlético-MG,Sport,Derrota,,LogisticRegression_LOSO
14,Previsto,Sim,Bahia,Internacional,Vitória,,LogisticRegression_LOSO
14,Previsto,Não,Internacional,Bahia,Derrota,,LogisticRegression_LOSO
14,Previsto,Não,Sport,Atlético-MG,Vitória,,LogisticRegression_LOSO
16,Previsto,Sim,Atlético-MG,Fortaleza,Vitória,,LogisticRegression_LOSO
16,Previsto,Não,Fortaleza,Atlético-MG,Derrota,,LogisticRegression_LOSO
26,Previsto,Não,Bahia,Botafogo,Derrota,,LogisticRegression_LOSO
26,Previsto,Sim,Botafogo,Bahia,Vitória,,LogisticRegression_LOSO
26,Previsto,Não,Bragantino,Mirassol,Vitória,,LogisticRegression_LOSO
26,Previsto,Não,Ceará,Vitória,Vitória,,LogisticRegression_LOSO
26,Previsto,Não,Corinthians,Internacional,Derrota,,LogisticRegression_LOSO
26,Previsto,Não,Cruzeiro,Flamengo,Vitória,,LogisticRegression_LOSO
26,Previsto,Sim,Flamengo,Cruzeiro,Derrota,,LogisticRegression_LOSO
26,Previsto,Não,Fluminense,Sport,Vitória,,LogisticRegression_LOSO
26,Previsto,Sim,Fortaleza,São Paulo,Vitória,,LogisticRegression_LOSO
26,Previsto,Não,Grêmio,Santos,Derrota,,LogisticRegression_LOSO
26,Previsto,Sim,Internacional,Corinthians,Vitória,,LogisticRegression_LOSO
26,Previsto,Sim,Mirassol,Bragantino,Derrota,,LogisticRegression_LOSO
26,Previsto,Sim,Palmeiras,Vasco,Vitória,,LogisticRegression_LOSO
26,Previsto,Sim,Santos,Grêmio,Vitória,,LogisticRegression_LOSO
26,Previsto,Sim,Sport,Fluminense,Derrota,,LogisticRegression_LOSO
26,Previsto,Não,São Paulo,Fortaleza,Derrota,,LogisticRegression_LOSO
26,Previsto,Não,Vasco,Palmeiras,Derrota,,LogisticRegression_LOSO
26,Previsto,Sim,Vitória,Ceará,Derrota,,LogisticRegression_LOSO
27,Previsto,Não,Atlético-MG,Fluminense,Derrota,,LogisticRegression_LOSO
27,Previsto,Sim,Bahia,Flamengo,Vitória,,LogisticRegression_LOSO
27,Previsto,Não,Botafogo,Internacional,Derrota,,LogisticRegression_LOSO
27,Previsto,Sim,Bragantino,Grêmio,Vitória,,LogisticRegression_LOSO
27,Previsto,Sim,Ceará,Santos,Vitória,,LogisticRegression_LOSO
27,Previsto,Sim,Corinthians,Mirassol,Vitória,,LogisticRegression_LOSO
27,Previsto,Sim,Cruzeiro,Sport,Vitória,,LogisticRegression_LOSO
27,Previsto,Não,Flamengo,Bahia,Derrota,,LogisticRegression_LOSO
27,Previsto,Sim,Fluminense,Atlético-MG,Vitória,,LogisticRegression_LOSO
27,Previsto,Não,Fortaleza,Juventude,Vitória,,LogisticRegression_LOSO
27,Previsto,Não,Grêmio,Bragantino,Derrota,,LogisticRegression_LOSO
27,Previsto,Sim,Internacional,Botafogo,Vitória,,LogisticRegression_LOSO
27,Previsto,Sim,Juventude,Fortaleza,Derrota,,LogisticRegression_LOSO
27,Previsto,Não,Mirassol,Corinthians,Derrota,,LogisticRegression_LOSO
27,Previsto,Não,Palmeiras,São Paulo,Derrota,,LogisticRegression_LOSO
27,Previsto,Não,Santos,Ceará,Derrota,,LogisticRegression_LOSO
27,Previsto,Não,Sport,Cruzeiro,Derrota,,LogisticRegression_LOSO
27,Previsto,Sim,São Paulo,Palmeiras,Vitória,,LogisticRegression_LOSO
27,Previsto,Sim,Vasco,Vitória,Vitória,,LogisticRegression_LOSO
27,Previsto,Não,Vitória,Vasco,Derrota,,LogisticRegression_LOSO
28,Previsto,Sim,Atlético-MG,Cruzeiro,Vitória,,LogisticRegression_LOSO
28,Previsto,Não,Bahia,Vitória,Derrota,,LogisticRegression_LOSO
28,Previsto,Sim,Botafogo,Flamengo,Derrota,,LogisticRegression_LOSO
28,Previsto,Não,Bragantino,Palmeiras,Derrota,,LogisticRegression_LOSO
28,Previsto,Não,Ceará,Sport,Derrota,,LogisticRegression_LOSO
28,Previsto,Não,Corinthians,Santos,Derrota,,LogisticRegression_LOSO
28,Previsto,Não,Cruzeiro,Atlético-MG,Derrota,,LogisticRegression_LOSO
28,Previsto,Não,Flamengo,Botafogo,Vitória,,LogisticRegression_LOSO
28,Previsto,Sim,Fluminense,Juventude,Vitória,,LogisticRegression_LOSO
28,Previsto,Sim,Fortaleza,Vasco,Vitória,,LogisticRegression_LOSO
28,Previsto,Sim,Grêmio,São Paulo,Vitória,,LogisticRegression_LOSO
28,Previsto,Não,Internacional,Mirassol,Vitória,,LogisticRegression_LOSO
28,Previsto,Não,Juventude,Fluminense,Derrota,,LogisticRegression_LOSO
28,Previsto,Sim,Mirassol,Internacional,Derrota,,LogisticRegression_LOSO
28,Previsto,Sim,Palmeiras,Bragantino,Vitória,,LogisticRegression_LOSO
28,Previsto,Sim,Santos,Corinthians,Vitória,,LogisticRegression_LOSO
28,Previsto,Sim,Sport,Ceará,Vitória,,LogisticRegression_LOSO
28,Previsto,Não,São Paulo,Grêmio,Derrota,,LogisticRegression_LOSO
28,Previsto,Não,Vasco,Fortaleza,Derrota,,LogisticRegression_LOSO
28,Previsto,Sim,Vitória,Bahia,Vitória,,LogisticRegression_LOSO
29,Previsto,Não,Atlético-MG,Corinthians,Derrota,,LogisticRegression_LOSO
29,Previsto,Sim,Bahia,Grêmio,Vitória,,LogisticRegression_LOSO
29,Previsto,Não,Botafogo,Ceará,Derrota,,LogisticRegression_LOSO
29,Previsto,Não,Bragantino,Juventude,Derrota,,LogisticRegression_LOSO
29,Previsto,Sim,Ceará,Botafogo,Vitória,,LogisticRegression_LOSO
29,Previsto,Sim,Corinthians,Atlético-MG,Vitória,,LogisticRegression_LOSO
29,Previsto,Sim,Cruzeiro,Fortaleza,Vitória,,LogisticRegression_LOSO
29,Previsto,Sim,Flamengo,Palmeiras,Vitória,,LogisticRegression_LOSO
29,Previsto,Não,Fluminense,Vasco,Derrota,,LogisticRegression_LOSO
29,Previsto,Não,Fortaleza,Cruzeiro,Derrota,,LogisticRegression_LOSO
29,Previsto,Não,Grêmio,Bahia,Derrota,,LogisticRegression_LOSO
29,Previsto,Sim,Internacional,Sport,Vitória,,LogisticRegression_LOSO
29,Previsto,Sim,Juventude,Bragantino,Vitória,,LogisticRegression_LOSO
29,Previsto,Sim,Mirassol,São Paulo,Empate,,LogisticRegression_LOSO
29,Previsto,Não,Palmeiras,Flamengo,Derrota,,LogisticRegression_LOSO
29,Previsto,Sim,Santos,Vitória,Vitória,,LogisticRegression_LOSO
29,Previsto,Não,Sport,Internacional,Derrota,,LogisticRegression_LOSO
29,Previsto,Não,São Paulo,Mirassol,Empate,,LogisticRegression_LOSO
29,Previsto,Sim,Vasco,Fluminense,Vitória,,LogisticRegression_LOSO
29,Previsto,Não,Vitória,Santos,Derrota,,LogisticRegression_LOSO
30,Previsto,Sim,Atlético-MG,Ceará,Vitória,,LogisticRegression_LOSO
30,Previsto,Não,Bahia,São Paulo,Derrota,,LogisticRegression_LOSO
30,Previsto,Sim,Botafogo,Santos,Derrota,,LogisticRegression_LOSO
30,Previsto,Sim,Bragantino,Vasco,Vitória,,LogisticRegression_LOSO
30,Previsto,Não,Ceará,Atlético-MG,Derrota,,LogisticRegression_LOSO
30,Previsto,Não,Corinthians,Vitória,Derrota,,LogisticRegression_LOSO
30,Previsto,Não,Cruzeiro,Palmeiras,Derrota,,LogisticRegression_LOSO
30,Previsto,Não,Flamengo,Fortaleza,Derrota,,LogisticRegression_LOSO
30,Previsto,Sim,Fluminense,Internacional,Derrota,,LogisticRegression_LOSO
30,Previsto,Sim,Fortaleza,Flamengo,Vitória,,LogisticRegression_LOSO
30,Previsto,Sim,Grêmio,Juventude,Vitória,,LogisticRegression_LOSO
30,Previsto,Não,Internacional,Fluminense,Vitória,,LogisticRegression_LOSO
30,Previsto,Não,Juventude,Grêmio,Derrota,,LogisticRegression_LOSO
30,Previsto,Não,Mirassol,Sport,Derrota,,LogisticRegression_LOSO
30,Previsto,Sim,Palmeiras,Cruzeiro,Vitória,,LogisticRegression_LOSO
30,Previsto,Não,Santos,Botafogo,Vitória,,LogisticRegression_LOSO
30,Previsto,Sim,Sport,Mirassol,Vitória,,LogisticRegression_LOSO
30,Previsto,Sim,São Paulo,Bahia,Vitória,,LogisticRegression_LOSO
30,Previsto,Não,Vasco,Bragantino,Derrota,,LogisticRegression_LOSO
30,Previsto,Sim,Vitória,Corinthians,Vitória,,LogisticRegression_LOSO
31,Previsto,Não,Atlético-MG,Internacional,Derrota,,LogisticRegression_LOSO
31,Previsto,Sim,Bahia,Bragantino,Derrota,,LogisticRegression_LOSO
31,Previsto,Não,Botafogo,Mirassol,Vitória,,LogisticRegression_LOSO
31,Previsto,Não,Bragantino,Bahia,Vitória,,LogisticRegression_LOSO
