rodada_num,time,pontos,vitorias,modelo,posicao,data_atualizacao,pontos_time,aproveitamento,aproveitamento_recente,media_gols_marcados,media_gols_sofridos,jogos
1,Cruzeiro,3.0,1,LogisticRegression_LOSO,1,2025-11-25 18:30:27.237932,68.0,0.6476190476190476,0.7333333333333333,1.4857142857142858,0.7142857142857143,35
1,Fortaleza,3.0,1,LogisticRegression_LOSO,2,2025-11-25 18:30:27.237932,34.0,0.3333333333333333,0.6,1.088235294117647,1.5588235294117647,34
1,Grêmio,3.0,1,LogisticRegression_LOSO,3,2025-11-25 18:30:27.237932,43.0,0.4095238095238095,0.26666666666666666,1.1142857142857143,1.3142857142857143,35
1,Juventude,3.0,1,LogisticRegression_LOSO,4,2025-11-25 18:30:27.237932,33.0,0.3142857142857143,0.4666666666666667,0.9428571428571428,1.8285714285714285,35
1,Vasco,3.0,1,LogisticRegression_LOSO,5,2025-11-25 18:30:27.237932,42.0,0.4,0.0,1.4285714285714286,1.4857142857142858,35
1,Bahia,1.0,0,LogisticRegression_LOSO,6,2025-11-25 18:30:27.237932,56.0,0.5333333333333333,0.4666666666666667,1.3428571428571427,1.2285714285714286,35
1,Botafogo,1.0,0,LogisticRegression_LOSO,7,2025-11-25 18:30:27.237932,58.0,0.5523809523809524,0.7333333333333333,1.4285714285714286,0.9142857142857143,35
1,Bragantino,1.0,0,LogisticRegression_LOSO,8,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.6,1.1428571428571428,1.5142857142857142,35
1,Ceará,1.0,0,LogisticRegression_LOSO,9,2025-11-25 18:30:27.237932,42.0,0.4,0.4666666666666667,0.9142857142857143,1.0,35
1,Corinthians,1.0,0,LogisticRegression_LOSO,10,2025-11-25 18:30:27.237932,45.0,0.42857142857142855,0.4,1.0857142857142856,1.2,35
1,Flamengo,1.0,0,LogisticRegression_LOSO,11,2025-11-25 18:30:27.237932,74.0,0.7047619047619048,0.6666666666666666,2.085714285714286,0.6571428571428571,35
1,Internacional,1.0,0,LogisticRegression_LOSO,12,2025-11-25 18:30:27.237932,41.0,0.3904761904761905,0.4,1.1428571428571428,1.3714285714285714,35
1,Palmeiras,1.0,0,LogisticRegression_LOSO,13,2025-11-25 18:30:27.237932,70.0,0.6666666666666666,0.5333333333333333,1.6571428571428573,0.8285714285714286,35
1,Sport,1.0,0,LogisticRegression_LOSO,14,2025-11-25 18:30:27.237932,17.0,0.1619047619047619,0.0,0.8,1.8857142857142857,35
1,São Paulo,1.0,0,LogisticRegression_LOSO,15,2025-11-25 18:30:27.237932,48.0,0.45714285714285713,0.4666666666666667,1.1428571428571428,1.1428571428571428,35
1,Atlético-MG,0.0,0,LogisticRegression_LOSO,16,2025-11-25 18:30:27.237932,44.0,0.43137254901960786,0.6666666666666666,1.088235294117647,1.1470588235294117,34
1,Fluminense,0.0,0,LogisticRegression_LOSO,17,2025-11-25 18:30:27.237932,55.0,0.5238095238095238,0.5333333333333333,1.1428571428571428,1.0857142857142856,35
1,Mirassol,0.0,0,LogisticRegression_LOSO,18,2025-11-25 18:30:27.237932,63.0,0.6,0.5333333333333333,1.6571428571428573,0.9714285714285714,35
