time,pontos_time,aproveitamento,aproveitamento_recente,media_gols_marcados,media_gols_sofridos,jogos
Fluminense,44.0,0.5057471264367817,0.6666666666666666,1.2413793103448276,1.206896551724138,29
Ceará,35.0,0.40229885057471265,0.26666666666666666,0.9310344827586207,0.9655172413793104,29
Flamengo,61.0,0.7011494252873564,0.4666666666666667,1.9310344827586208,0.5517241379310345,29
Sport,17.0,0.19540229885057472,0.2,0.7586206896551724,1.5862068965517242,29
Santos,32.0,0.367816091954023,0.3333333333333333,1.0344827586206897,1.4482758620689655,29
Fortaleza,27.0,0.3103448275862069,0.4,0.9310344827586207,1.5172413793103448,29
Mirassol,55.0,0.6111111111111112,0.6666666666666666,1.7333333333333334,1.0333333333333334,30
Botafogo,47.0,0.5222222222222223,0.4666666666666667,1.3666666666666667,0.9333333333333333,30
Cruzeiro,57.0,0.6333333333333333,0.4666666666666667,1.4,0.7,30
Vitória,31.0,0.34444444444444444,0.6,0.9,1.4666666666666666,30
Vasco,42.0,0.4666666666666667,0.8,1.6333333333333333,1.3666666666666667,30
São Paulo,41.0,0.45555555555555555,0.4,1.1,1.1,30
Corinthians,39.0,0.43333333333333335,0.6666666666666666,1.0666666666666667,1.1666666666666667,30
Grêmio,39.0,0.43333333333333335,0.4666666666666667,1.1,1.2666666666666666,30
Internacional,35.0,0.3888888888888889,0.4666666666666667,1.1666666666666667,1.4333333333333333,30
Atlético-MG,36.0,0.41379310344827586,0.3333333333333333,0.9310344827586207,1.103448275862069,29
Bahia,49.0,0.5444444444444444,0.4,1.3333333333333333,1.1333333333333333,30
Bragantino,36.0,0.4,0.26666666666666666,1.1333333333333333,1.5666666666666667,30
Juventude,26.0,0.28888888888888886,0.26666666666666666,0.8,1.8666666666666667,30
Palmeiras,62.0,0.7126436781609196,0.6666666666666666,1.8275862068965518,0.896551724137931,29
