time,ano,time.valor
Palmeiras,2025,152300000
Flamengo,2025,145000000
Botafogo,2025,85500000
Corinthians,2025,82800000
Atlético-MG,2025,60200000
Internacional,2025,58400000
Bahia,2025,52300000
Cruzeiro,2025,52100000
Santos,2025,49850000
Vasco,2025,49550000
Grêmio,2025,47300000
Fluminense,2025,47100000
São Paulo,2025,42500000
Bragantino,2025,41500000
Fortaleza,2025,23600000
Vitória,2025,18700000
Sport,2025,17100000
Ceará,2025,16650000
Juventude,2025,13050000
Mirassol,2025,8250000
