rodada,partida_id,placar,placar_mandante,placar_visitante,status,data_realizacao,edicao.edicao_id,edicao.temporada,edicao.nome_popular,campeonato.campeonato_id,campeonato.nome,campeonato.slug,time_mandante.time_id,time_mandante.nome_popular,time_mandante.sigla,time_mandante.escudo,time_visitante.time_id,time_visitante.nome_popular,time_visitante.sigla,time_visitante.escudo,estadio.estadio_id,estadio.nome_popular,rodada_num,time_mandante.valor,time_visitante.valor
1a-rodada,21909560,0x0,0,0,finalizado,44660,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fluminense,,,,Santos,,,,Estádio Jornalista Mário Filho,1,28050000,29500000
1a-rodada,92222998,3x0,3,0,finalizado,44661,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Coritiba,,,,Goiás,,,,Estádio Major Antônio Couto Pereira,1,9200000,6850000
1a-rodada,65976287,1x1,1,1,finalizado,44661,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-GO,,,,Flamengo,,,,Estádio Antonio Accioly,1,8650000,95500000
1a-rodada,20562624,2x0,2,0,finalizado,44661,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-MG,,,,Internacional,,,,Estádio Governador Magalhães Pinto,1,63000000,39000000
1a-rodada,85543125,0x1,0,1,finalizado,44661,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fortaleza,,,,Cuiabá,,,,Estádio Governador Plácido Castelo,1,11050000,10250000
1a-rodada,2797836,2x3,2,3,finalizado,44661,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Palmeiras,,,,Ceará,,,,Allianz Parque,1,87200000,11050000
1a-rodada,11499934,1x3,1,3,finalizado,44661,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Botafogo,,,,Corinthians,,,,Estádio Olímpico Nilton Santos,1,30500000,47050000
1a-rodada,98792665,1x0,1,0,finalizado,44662,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Avaí,,,,América-MG,,,,Estádio Aderbal Ramos da Silva,1,4280000,11300000
1a-rodada,43288246,4x0,4,0,finalizado,44662,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,São Paulo,,,,Athletico-PR,,,,Estádio Cícero Pompeu de Toledo,1,31300000,34700000
1a-rodada,40486996,2x2,2,2,finalizado,44663,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Juventude,,,,Bragantino,,,,Estádio Alfredo Jaconi ,1,8000000,37700000
2a-rodada,87711163,1x1,1,1,finalizado,44667,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Goiás,,,,Palmeiras,,,,Estádio Serra Dourada,2,8950000,86000000
2a-rodada,80862210,0x1,0,1,finalizado,44668,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cuiabá,,,,Fluminense,,,,Arena Pantanal,2,10000000,29600000
2a-rodada,7343718,4x1,4,1,finalizado,44668,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,América-MG,,,,Juventude,,,,Estádio Raimundo Sampaio,2,8650000,8000000
2a-rodada,16898680,3x0,3,0,finalizado,44668,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Corinthians,,,,Avaí,,,,Neo Química Arena ,2,44600000,4280000
2a-rodada,6153193,0x1,0,1,finalizado,44668,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Athletico-PR,,,,Atlético-MG,,,,Arena da Baixada,2,26750000,64900000
2a-rodada,21270945,4x0,4,0,finalizado,44668,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bragantino,,,,Atlético-GO,,,,Estádio Nabi Abi Chedid,2,36500000,8650000
2a-rodada,50751272,2x1,2,1,finalizado,44668,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Santos,,,,Coritiba,,,,Estádio Urbano Caldeira,2,34900000,9000000
2a-rodada,3725688,3x1,3,1,finalizado,44668,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Flamengo,,,,São Paulo,,,,Estádio Jornalista Mário Filho,2,84300000,33300000
2a-rodada,21670638,2x1,2,1,finalizado,44668,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Internacional,,,,Fortaleza,,,,Estádio Beira-Rio,2,27650000,12150000
2a-rodada,98539145,1x3,1,3,finalizado,44669,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Ceará,,,,Botafogo,,,,Estádio Governador Plácido Castelo,2,9750000,27480000
4a-rodada,22777328,0x0,0,0,finalizado,44672,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Flamengo,,,,Palmeiras,,,,Estádio Jornalista Mário Filho,4,83800000,88000000
3a-rodada,81727357,1x0,1,0,finalizado,44674,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Athletico-PR,,,,Flamengo,,,,Arena da Baixada,3,26250000,72500000
3a-rodada,35832113,1x1,1,1,finalizado,44674,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bragantino,,,,São Paulo,,,,Estádio Nabi Abi Chedid,3,22550000,34800000
3a-rodada,53170301,3x0,3,0,finalizado,44675,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Santos,,,,América-MG,,,,Estádio Urbano Caldeira,3,34900000,10150000
3a-rodada,68622549,0x1,0,1,finalizado,44675,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Juventude,,,,Cuiabá,,,,Estádio Alfredo Jaconi ,3,7800000,8500000
3a-rodada,37628325,3x0,3,0,finalizado,44675,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Palmeiras,,,,Corinthians,,,,Arena Barueri,3,91000000,43800000
3a-rodada,39984420,0x1,0,1,finalizado,44675,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fluminense,,,,Internacional,,,,Estádio Jornalista Mário Filho,3,28250000,37300000
3a-rodada,20806248,1x1,1,1,finalizado,44675,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-GO,,,,Botafogo,,,,Estádio Antonio Accioly,3,8550000,19980000
3a-rodada,95855395,2x2,2,2,finalizado,44675,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-MG,,,,Coritiba,,,,Estádio Raimundo Sampaio,3,42400000,6950000
3a-rodada,69379919,3x2,3,2,finalizado,44677,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Avaí,,,,Goiás,,,,Estádio Aderbal Ramos da Silva,3,5980000,6900000
4a-rodada,14590939,1x0,1,0,finalizado,44681,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,América-MG,,,,Athletico-PR,,,,Estádio Raimundo Sampaio,4,9450000,21550000
4a-rodada,41845307,2x2,2,2,finalizado,44681,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Goiás,,,,Atlético-MG,,,,Estádio Serra Dourada,4,8550000,72000000
4a-rodada,58735110,0x1,0,1,finalizado,44681,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Ceará,,,,Bragantino,,,,Estádio Governador Plácido Castelo,4,8800000,42000000
4a-rodada,25892899,1x1,1,1,finalizado,44682,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Botafogo,,,,Juventude,,,,Estádio Olímpico Nilton Santos,4,29780000,7400000
4a-rodada,99523737,1x0,1,0,finalizado,44682,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Corinthians,,,,Fortaleza,,,,Neo Química Arena ,4,47600000,12400000
4a-rodada,53742448,1x1,1,1,finalizado,44682,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Cuiabá,,,,Atlético-GO,,,,Arena Pantanal,4,9200000,9100000
4a-rodada,68989036,3x2,3,2,finalizado,44682,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Coritiba,,,,Fluminense,,,,Estádio Major Antônio Couto Pereira,4,8800000,37300000
4a-rodada,6267240,0x0,0,0,finalizado,44683,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Internacional,,,,Avaí,,,,Estádio Beira-Rio,4,34300000,6000000
4a-rodada,25152168,2x1,2,1,finalizado,44684,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,São Paulo,,,,Santos,,,,Estádio Cícero Pompeu de Toledo,4,30600000,26400000
5a-rodada,33799190,1x2,1,2,finalizado,44688,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-MG,,,,América-MG,,,,Estádio Raimundo Sampaio,5,54300000,7150000
5a-rodada,47751732,0x1,0,1,finalizado,44689,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Flamengo,,,,Botafogo,,,,Estádio Nacional de Brasília Mané Garrincha,5,82300000,20880000
5a-rodada,88852550,1x1,1,1,finalizado,44689,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Palmeiras,,,,Fluminense,,,,Allianz Parque,5,86000000,29300000
5a-rodada,61683904,1x0,1,0,finalizado,44689,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Athletico-PR,,,,Ceará,,,,Arena da Baixada,5,27550000,10950000
5a-rodada,93140111,0x1,0,1,finalizado,44689,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bragantino,,,,Corinthians,,,,Estádio Nabi Abi Chedid,5,33850000,32300000
5a-rodada,84895305,4x1,4,1,finalizado,44689,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Santos,,,,Cuiabá,,,,Estádio Urbano Caldeira,5,29700000,6450000
5a-rodada,18701435,0x1,0,1,finalizado,44689,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Atlético-GO,,,,Goiás,,,,Estádio Antonio Accioly,5,8450000,6550000
5a-rodada,20799598,1x1,1,1,finalizado,44690,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fortaleza,,,,São Paulo,,,,Estádio Governador Plácido Castelo,5,12450000,30000000
5a-rodada,22834798,1x1,1,1,finalizado,44690,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Juventude,,,,Internacional,,,,Estádio Alfredo Jaconi ,5,9780000,36900000
5a-rodada,393138,2x1,2,1,finalizado,44691,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Avaí,,,,Coritiba,,,,Estádio Aderbal Ramos da Silva,5,5980000,6650000
7a-rodada,44955656,1x1,1,1,finalizado,44693,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Bragantino,,,,Atlético-MG,,,,Estádio Nabi Abi Chedid,7,51800000,74000000
6a-rodada,32635006,2x0,2,0,finalizado,44695,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Palmeiras,,,,Bragantino,,,,Allianz Parque,6,86700000,26500000
6a-rodada,75723892,2x2,2,2,finalizado,44695,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Ceará,,,,Flamengo,,,,Estádio Governador Plácido Castelo,6,8700000,89000000
6a-rodada,59843802,2x1,2,1,finalizado,44696,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Fluminense,,,,Athletico-PR,,,,Estádio General Sylvio Raulino de Oliveira,6,36600000,29050000
6a-rodada,93159639,1x0,1,0,finalizado,44696,,2022,Brasileirão 2025,10,Campeonato Brasileiro,campeonato-brasileiro,,Coritiba,,,,América-MG,,,,Estádio Major Antônio Couto Pereira,6,7950000,10200000
